steps,wild_mean,mutant_mean,total_count
616,124.889,48.747,173.636
617,125.071,48.891,173.962
618,125.668,49.044,174.712
619,125.368,48.907,174.275
620,124.668,48.791,173.459
621,124.757,48.635,173.392
622,124.849,48.583,173.432
623,124.9,48.782,173.682
624,124.594,48.719,173.313
625,124.524,48.721,173.245
626,124.771,48.512,173.283
627,124.755,48.941,173.696
628,124.706,48.528,173.234
629,124.957,48.525,173.482
630,124.731,48.532,173.263
631,124.861,48.584,173.445
632,125.825,48.664,174.489
633,125.267,48.889,174.156
634,124.892,48.709,173.601
635,125.287,48.646,173.933
636,125.441,48.96,174.401
637,125.489,48.704,174.193
638,125.474,48.795,174.269
639,124.835,49.019,173.854
640,123.988,49.006,172.994
641,124.424,49.105,173.529
642,124.816,49.027,173.843
643,124.547,49.1,173.647
644,124.636,49.013,173.649
645,124.492,49.52,174.012
646,124.449,49.394,173.843
647,124.251,49.229,173.48
648,125.029,49.202,174.231
649,124.9,49.403,174.303
650,124.844,49.043,173.887
651,124.554,48.875,173.429
652,124.974,48.766,173.74
653,124.684,48.775,173.459
654,124.511,49.03,173.541
655,124.564,49.289,173.853
656,124.934,49.498,174.432
657,125.09,49.455,174.545
658,124.839,49.244,174.083
659,124.69,49.278,173.968
660,124.674,49.244,173.918
661,124.833,49.761,174.594
662,124.577,49.365,173.942
663,124.437,49.453,173.89
664,124.306,49.7,174.006
665,124.12,49.408,173.528
666,124.007,49.526,173.533
667,124.114,49.511,173.625
668,123.952,49.449,173.401
669,123.753,49.517,173.27
670,123.915,49.63,173.545
671,124.299,49.704,174.003
672,124.243,49.654,173.897
673,124.323,49.76,174.083
674,124.018,49.639,173.657
675,124.448,49.655,174.103
676,124.772,49.664,174.436
677,125.073,49.59,174.663
678,124.684,49.726,174.41
679,123.799,49.649,173.448
680,123.409,49.846,173.255
681,123.519,49.746,173.265
682,124.227,49.853,174.08
683,123.851,50.112,173.963
684,124.38,50.121,174.501
685,124.739,50.163,174.902
686,125.222,50.402,175.624
687,124.747,50.365,175.112
688,124.705,50.221,174.926
689,124.17,50.248,174.418
690,123.912,50.101,174.013
691,123.781,49.982,173.763
692,124.124,49.824,173.948
693,123.896,49.63,173.526
694,123.849,49.906,173.755
695,123.742,49.98,173.722
696,123.545,49.829,173.374
697,123.14,49.673,172.813
698,123.367,49.49,172.857
699,122.994,49.76,172.754
700,123.034,49.911,172.945
701,123.364,49.74,173.104
702,123.617,49.816,173.433
703,123.18,49.744,172.924
704,123.374,49.663,173.037
705,123.318,49.927,173.245
706,123.541,50.22,173.761
707,123.717,49.903,173.62
708,123.359,49.919,173.278
709,123.353,49.982,173.335
710,123.257,50.128,173.385
711,123.155,50.053,173.208
712,123.345,49.904,173.249
713,123.742,49.92,173.662
714,123.541,50.094,173.635
715,123.259,50.106,173.365
716,123.33,50.151,173.481
717,123.304,50.154,173.458
718,123.785,50.096,173.881
719,123.45,50.048,173.498
720,123.151,50.287,173.438
721,123.409,50.392,173.801
722,123.699,50.417,174.116
723,123.701,50.112,173.813
724,123.73,50.129,173.859
725,124.008,50.094,174.102
726,123.446,50.157,173.603
727,123.67,50.402,174.072
728,123.343,50.285,173.628
729,123.197,50.459,173.656
730,123.355,50.752,174.107
731,123.343,50.433,173.776
732,123.558,50.667,174.225
733,123.173,50.436,173.609
734,122.849,50.36,173.209
735,122.928,50.391,173.319
736,122.886,50.593,173.479
737,122.547,50.563,173.11
738,122.447,50.769,173.216
739,122.837,50.417,173.254
740,122.795,50.842,173.637
741,123.078,51.089,174.167
742,123.053,50.848,173.901
743,123.585,50.927,174.512
744,123.734,51.047,174.781
745,123.313,50.933,174.246
746,123.18,51.421,174.601
747,122.65,51.602,174.252
748,122.947,51.807,174.754
749,122.72,51.462,174.182
750,122.66,51.587,174.247
751,122.415,51.52,173.935
752,122.376,51.143,173.519
753,123.054,51.338,174.392
754,122.823,51.389,174.212
755,123.618,51.499,175.117
756,123.255,51.19,174.445
757,122.485,51.327,173.812
758,122.618,51.328,173.946
759,122.996,51.138,174.134
760,123.452,50.866,174.318
761,122.738,50.729,173.467
762,122.146,51.248,173.394
763,122.259,51.242,173.501
764,122.323,51.153,173.476
765,122.644,51.227,173.871
766,122.648,51.673,174.321
767,123.072,51.16,174.232
768,122.186,51.188,173.374
769,121.831,51.063,172.894
770,121.7,51.491,173.191
771,121.91,51.718,173.628
772,122.382,51.65,174.032
773,121.915,51.758,173.673
774,121.985,51.957,173.942
775,122.16,51.97,174.13
776,122.065,51.694,173.759
777,122.285,51.592,173.877
778,121.884,51.741,173.625
779,121.803,51.668,173.471
780,121.801,51.692,173.493
781,122.082,51.954,174.036
782,121.695,51.909,173.604
783,121.084,52.02,173.104
784,121.051,52.128,173.179
785,121.119,52.165,173.284
786,121.178,51.93,173.108
787,121.51,52.166,173.676
788,121.378,52.355,173.733
789,121.285,52.383,173.668
790,121.846,52.573,174.419
791,121.49,52.557,174.047
792,121.578,52.634,174.212
793,121.488,52.432,173.92
794,121.759,52.836,174.595
795,121.794,52.489,174.283
796,122.002,52.127,174.129
797,121.728,52.319,174.047
798,121.767,52.314,174.081
799,121.791,52.129,173.92
800,121.561,52.327,173.888
801,121.699,52.16,173.859
802,121.971,52.409,174.38
803,121.74,52.472,174.212
804,121.991,52.576,174.567
805,122.071,52.413,174.484
806,121.508,52.257,173.765
807,121.805,52.337,174.142
808,121.531,52.576,174.107
809,121.392,52.43,173.822
810,121.758,52.134,173.892
811,121.427,52.13,173.557
812,121.733,52.161,173.894
813,121.795,52.404,174.199
814,121.773,52.358,174.131
815,122.15,52.315,174.465
816,121.931,51.993,173.924
817,121.591,52.043,173.634
818,121.296,51.727,173.023
819,121.229,52.091,173.32
820,121.296,52.346,173.642
821,121.381,52.602,173.983
822,121.535,52.474,174.009
823,122.136,52.075,174.211
824,121.757,52.352,174.109
825,121.881,52.37,174.251
826,121.618,52.336,173.954
827,120.984,52.793,173.777
828,121.653,52.818,174.471
