steps,wild_mean,mutant_mean,total_count
326,166.248,7.523,173.771
327,166.4,7.576,173.976
328,166.948,7.68,174.628
329,166.098,7.894,173.992
330,166.471,7.788,174.259
331,166.49,7.767,174.257
332,166.311,7.815,174.126
333,165.445,7.808,173.253
334,166.207,7.809,174.016
335,166.278,7.862,174.14
336,165.772,8.016,173.788
337,165.817,8.062,173.879
338,166.027,8.021,174.048
339,166.295,7.86,174.155
340,166.057,7.892,173.949
341,166.635,8.024,174.659
342,166.3,7.982,174.282
343,166.278,7.996,174.274
344,166.077,8.02,174.097
345,166.742,8.114,174.856
346,166.858,8.117,174.975
347,166.384,8.149,174.533
348,165.629,8.272,173.901
349,165.737,8.274,174.011
350,165.823,8.249,174.072
351,166.237,8.191,174.428
352,165.542,8.139,173.681
353,165.603,8.148,173.751
354,165.856,8.115,173.971
355,165.761,8.235,173.996
356,165.619,8.103,173.722
357,165.93,8.144,174.074
358,165.891,8.17,174.061
359,165.674,8.3,173.974
360,165.233,8.429,173.662
361,165.398,8.728,174.126
362,165.119,8.64,173.759
363,164.989,8.58,173.569
364,165.69,8.509,174.199
365,165.573,8.618,174.191
366,165.402,8.713,174.115
367,165.159,8.642,173.801
368,164.947,8.718,173.665
369,165.47,8.631,174.101
370,165.604,8.802,174.406
371,164.812,8.95,173.762
372,165.19,8.894,174.084
373,165.491,8.798,174.289
374,165.322,8.844,174.166
375,165.182,9.085,174.267
376,165.306,9.018,174.324
377,165.287,9.223,174.51
378,165.12,9.21,174.33
379,164.859,9.16,174.019
380,164.661,9.234,173.895
381,164.681,9.263,173.944
382,164.427,9.288,173.715
383,165.257,9.434,174.691
384,165.397,9.373,174.77
385,165.201,9.376,174.577
386,165.183,9.517,174.7
387,165.142,9.446,174.588
388,164.953,9.332,174.285
389,164.926,9.258,174.184
390,164.089,9.291,173.38
391,164.202,9.199,173.401
392,164.514,9.299,173.813
393,164.221,9.461,173.682
394,163.672,9.478,173.15
395,163.293,9.431,172.724
396,163.534,9.67,173.204
397,163.264,9.715,172.979
398,163.919,9.659,173.578
399,163.59,9.729,173.319
400,163.744,9.606,173.35
401,163.584,9.517,173.101
402,163.68,9.812,173.492
403,163.335,9.943,173.278
404,163.414,9.978,173.392
405,163.096,9.938,173.034
406,163.81,10.023,173.833
407,163.818,10.062,173.88
