steps,wild_mean,mutant_mean,total_count
344,144.66,29.437,174.097
345,145.032,29.824,174.856
346,145.0,29.975,174.975
347,144.854,29.679,174.533
348,144.237,29.664,173.901
349,144.311,29.7,174.011
350,144.472,29.6,174.072
351,144.62,29.808,174.428
352,144.077,29.604,173.681
353,144.247,29.504,173.751
354,144.116,29.855,173.971
355,144.282,29.714,173.996
356,143.894,29.828,173.722
357,144.467,29.607,174.074
358,144.661,29.4,174.061
359,144.644,29.33,173.974
360,144.168,29.494,173.662
361,144.252,29.874,174.126
362,143.853,29.906,173.759
363,143.856,29.713,173.569
364,144.626,29.573,174.199
365,144.432,29.759,174.191
366,144.338,29.777,174.115
367,144.245,29.556,173.801
368,144.003,29.662,173.665
369,144.309,29.792,174.101
370,144.337,30.069,174.406
371,143.725,30.037,173.762
372,143.963,30.121,174.084
373,144.36,29.929,174.289
374,144.317,29.849,174.166
375,144.248,30.019,174.267
376,144.204,30.12,174.324
377,144.162,30.348,174.51
378,143.925,30.405,174.33
379,143.64,30.379,174.019
380,143.373,30.522,173.895
381,143.459,30.485,173.944
382,143.252,30.463,173.715
383,143.935,30.756,174.691
384,144.064,30.706,174.77
385,143.931,30.646,174.577
386,143.678,31.022,174.7
387,143.632,30.956,174.588
388,143.685,30.6,174.285
389,143.698,30.486,174.184
390,143.106,30.274,173.38
391,143.217,30.184,173.401
392,143.379,30.434,173.813
393,142.907,30.775,173.682
394,142.434,30.716,173.15
395,142.108,30.616,172.724
396,142.503,30.701,173.204
397,142.241,30.738,172.979
398,142.765,30.813,173.578
399,142.716,30.603,173.319
400,142.679,30.671,173.35
401,142.626,30.475,173.101
402,142.956,30.536,173.492
403,142.807,30.471,173.278
404,142.639,30.753,173.392
405,142.233,30.801,173.034
406,142.723,31.11,173.833
407,142.707,31.173,173.88
408,142.393,31.415,173.808
409,142.829,31.241,174.07
410,143.08,31.216,174.296
411,142.983,31.151,174.134
412,142.685,31.206,173.891
413,142.662,31.487,174.149
414,142.522,31.436,173.958
415,142.542,31.371,173.913
416,142.649,31.68,174.329
417,142.892,31.434,174.326
418,143.112,31.353,174.465
419,143.051,31.3,174.351
420,143.615,31.509,175.124
421,142.633,31.652,174.285
422,142.225,31.733,173.958
423,142.288,31.519,173.807
424,142.364,31.277,173.641
425,142.333,31.479,173.812
426,142.191,31.678,173.869
427,141.502,31.806,173.308
428,141.608,31.759,173.367
429,141.237,31.621,172.858
430,141.967,31.541,173.508
431,142.332,31.977,174.309
432,142.08,31.946,174.026
433,142.262,31.984,174.246
434,141.76,32.048,173.808
435,141.409,32.049,173.458
436,141.519,31.812,173.331
437,141.787,31.842,173.629
438,141.901,31.528,173.429
439,142.138,31.555,173.693
440,142.075,31.706,173.781
441,142.257,31.532,173.789
442,142.086,31.631,173.717
443,141.76,31.718,173.478
444,142.04,31.9,173.94
445,142.189,31.838,174.027
446,142.08,32.248,174.328
447,142.491,32.22,174.711
448,142.084,32.244,174.328
449,142.026,32.281,174.307
450,141.636,32.391,174.027
451,141.719,32.453,174.172
452,141.477,32.485,173.962
453,140.846,32.503,173.349
454,140.221,32.303,172.524
455,140.646,32.209,172.855
456,141.164,32.148,173.312
457,141.256,32.088,173.344
458,141.821,32.102,173.923
459,141.633,32.199,173.832
460,141.714,32.361,174.075
461,141.801,32.454,174.255
462,141.654,32.544,174.198
463,141.297,32.338,173.635
464,141.444,32.387,173.831
465,141.87,32.719,174.589
466,141.734,32.676,174.41
467,141.735,32.547,174.282
468,141.171,32.634,173.805
469,141.161,32.66,173.821
470,141.106,32.497,173.603
471,141.038,32.619,173.657
472,141.687,32.562,174.249
473,141.974,32.53,174.504
474,141.444,32.72,174.164
475,141.646,32.864,174.51
476,141.236,33.06,174.296
477,140.565,33.124,173.689
478,140.49,33.208,173.698
479,140.517,33.28,173.797
